Sample location,Depth interval (m),Aquifer zone,Dcum(365) (mg N kg-1 yr-1),SRC (mg N kg-1),SRCc (mg N kg-1),SRCs (mg N kg-1),SFC (mg S kg-1 yr-1),Dr in situ (Âµg N kg-1 d-1)
FFA B1,6.0-7.0,transition zone,17.18,659.6,599.5,60.1,6.1,17.59
FFA B1,7.0-8.0,sulphidic,56.24,5974.2,5552.7,421.5,39.4,1.51
FFA B2,2.0-3.0,non-sulphidic,0.19,240.8,220.7,20.1,0.1,0.12
FFA B2,3.0-4.0,non-sulphidic,0.37,215.4,189.2,26.3,-0.1,0.12
FFA B2,4.0-5.0,non-sulphidic,4.34,540.2,508,32.2,1,0.07
FFA B2,8.0-9.0,transition zone,10.53,1638.2,1515.5,122.7,3.5,8.65
FFA B2,9.0-10.0,transition zone,12.68,610.7,502,108.7,2.2,8.65
FFA B4,7.0-8.0,sulphidic,20.16,603.6,450.2,153.4,9.6,2.76
FFA B4,8.0-9.0,sulphidic,34.09,1289.5,1038.9,250.7,22,2.28
FFA B6,2.0-3.0,non-sulphidic,2.64,687,648.9,39.1,0.3,0.06
FFA B6,3.0-4.0,non-sulphidic,1.46,1017.4,976.5,40.9,0.1,0.06
FFA N10,4.5-5.0,transition zone,8.69,1239,1204.1,34.8,1.5,12.89
FFA N10,5.0-5.5,transition zone,8.75,721.6,687.1,34.5,2.1,12.89
FFA N10,5.5-6.0,transition zone,7.82,674.6,640.3,34.3,5.2,12.89
FFA N10,7.7-8.3,transition zone,15.04,329.5,290,39.5,1.5,23.19
FFA N10,8.3-8.6,transition zone,15.17,331.5,298.7,32.9,6.9,23.19
FFA N10,10.0-10.4,sulphidic,17.45,320.6,289.3,31.3,5.4,
FFA N10,10.4-10.7,sulphidic,50.07,5571.6,5247.7,323.9,9.4,
FFA N10,12.0-13.0,sulphidic,52.84,2771.3,2381.7,389.6,37.9,
FFA N10,13.0-14.0,sulphidic,38.04,2134.1,1723.3,410.8,18.2,
FFA N10,16.0-17.0,sulphidic,46.65,2744.7,2431.5,313.2,23.6,
FFA N10,17.0-18.0,sulphidic,46.55,2642.7,2335,307.8,36.8,
GKA,8.0-9.0,non-sulphidic,0.63,132.6,95,37.6,0.9,0
GKA,9.0-10.0,non-sulphidic,0.34,97.1,70.7,26.4,0.4,0
GKA,22.0-23.0,non-sulphidic,1.57,193.3,164.2,29.1,0.2,0
GKA,23.0-24.0,non-sulphidic,2.83,204.5,179.2,25.3,0,0
GKA,25.9-27.0,sulphidic,15.63,2857.4,2381,476.4,1.2,1.23
GKA,27.0-28.3,sulphidic,41.82,6634,5943.2,690.8,8.3,1.23
GKA,28.3-29.3,sulphidic,37.82,4495.6,3878.5,617.2,13.8,4.43
GKA,29.3-30.3,sulphidic,35.49,4766.8,4236,530.8,8.1,4.43
GKA,30.3-31.2,sulphidic,6.54,1086.9,731.4,355.4,3.8,0.5
GKA,31.3-32.0,sulphidic,4.09,1122.4,777.7,344.7,5,0.5
GKA,32.9-33.7,sulphidic,7.28,1206,765.6,440.4,10.2,0.5
GKA,33.7-34.7,sulphidic,12.25,1057.4,700.9,356.6,17.7,2
GKA,35.7-36.7,sulphidic,52.46,8861.3,8366.7,494.6,30,6.19
GKA,36.7-37.7,sulphidic,11.07,689.6,216.7,472.8,9.2,6.19
GKA,37.7-38.7,sulphidic,12.06,1347.7,1083.1,264.7,4.6,6.19
GKA,65.1-65.4,sulphidic,13.22,1441.2,941.3,499.9,1.3,2.27
GKA,67.1-67.5,non-sulphidic,8.18,471,333.8,137.2,1.3,2.27
GKA,67.5-68.0,non-sulphidic,8.11,487.1,351.5,135.6,0.7,2.27
